rank,property_id,address,latitude,longitude,price,currency,bathrooms,bedrooms,area,land_area,zestimate,rent_zestimate,days_on_zillow,sold_date,is_zillow_owned,image,listing_type,broker_name,input,property_url,listing_url
753,250484143,"714 E Division St, Colfax, IA 50054",41.677181,-93.233729,255000,USD,2,4,1767.0 sqft,,252100,1500,3,,FALSE,https://photos.zillowstatic.com/fp/55b9c7f3a0f1a46f81019122cdef728b-p_e.jpg,House for sale,Iowa Realty Newton,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/714-E-Division-St-Colfax-IA-50054/250484143_zpid/,https://www.zillow.com/homes/IA_rb/19_p/
429,2069150424,"Ruby Plan, Heritage at Grimes",41.704548,-93.784362,446086,USD,4,4,1622.0 sqft,,,,2,,FALSE,https://photos.zillowstatic.com/fp/cea36bd3b0fd6de739fc198ec7e3c21d-p_e.jpg,New construction,,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/community/heritage-at-grimes/2069150424_zpid/,https://www.zillow.com/homes/IA_rb/11_p/
8,2067954221,"300 W 23rd St APT 3K, New York, NY 10011",40.745201,-73.999,725000,USD,1,0,,,,,0,,FALSE,https://photos.zillowstatic.com/fp/3942ca7c867bea4a5485167e7252f6a6-p_e.jpg,Condo for sale,"Listing by: Patrick Quagliano, LREB",https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/300-W-23rd-St-APT-3K-New-York-NY-10011/2067954221_zpid/,https://www.zillow.com/homes/NY_rb/
340,2067976694,"739 Boone St W, Webster City, IA 50595",42.463268,-93.823193,79000,USD,1,2,844.0 sqft,,,,1,,FALSE,https://photos.zillowstatic.com/fp/2e9cf3401f52944da0dc6bd16c5344b9-p_e.jpg,House for sale,,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/739-Boone-St-W-Webster-City-IA-50595/2067976694_zpid/,https://www.zillow.com/homes/IA_rb/9_p/
164,29845236,"557 Logan Ave, Bronx, NY 10465",40.824335,-73.818424,1250000,USD,3,5,1875.0 sqft,,,,0,,FALSE,https://photos.zillowstatic.com/fp/ac2760bc46fe463059def30bc6456244-p_e.jpg,Multi-family home for sale,Listing by: Boutique Realty,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/557-Logan-Ave-Bronx-NY-10465/29845236_zpid/,https://www.zillow.com/homes/NY_rb/5_p/
159,30985860,"195 Hurstbourne Rd, Rochester, NY 14609",43.17056,-77.55414,189900,USD,2,3,1550.0 sqft,,207200,1999,0,,FALSE,https://photos.zillowstatic.com/fp/2d3d4e91dcdfc110a5a83a9d91ced94f-p_e.jpg,House for sale,Listing by: Tru Agent Real Estate,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/195-Hurstbourne-Rd-Rochester-NY-14609/30985860_zpid/,https://www.zillow.com/homes/NY_rb/4_p/
535,193013479,"70 Hidden Lakes Blvd, Gunter, TX 75058",33.46714,-96.706517,595000,USD,3,4,2700.0 sqft,,568600,2139,0,,FALSE,https://photos.zillowstatic.com/fp/46a0ecf75711ca96d7b3c26c349619b4-p_e.jpg,House for sale,,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/70-Hidden-Lakes-Blvd-Gunter-TX-75058/193013479_zpid/,https://www.zillow.com/homes/TX_rb/14_p/
420,2067981161,"LOT 14 Heritage Ridge Ests, Dubuque, IA 52002",,,160000,USD,,,,2.9 acres,,,2,,FALSE,https://photos.zillowstatic.com/fp/b2d8392260a9f7f0ecb8212a4ed4a454-p_e.jpg,Lot / Land for sale,Keller Williams Midwest Partners,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/LOT-14-Heritage-Ridge-Ests-Dubuque-IA-52002/2067981161_zpid/,https://www.zillow.com/homes/IA_rb/11_p/
482,2067962115,"128 Mount Pisgah Rd, Windham, NY 12496",42.373266,-74.251041,1399000,USD,5,5,4233.0 sqft,,,,0,,FALSE,https://photos.zillowstatic.com/fp/782bbcc35e264641e83b7d03c21ca7d3-p_e.jpg,House for sale,"Listing by: Shaw Country Realty, Inc.",https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/128-Mount-Pisgah-Rd-Windham-NY-12496/2067962115_zpid/,https://www.zillow.com/homes/NY_rb/13_p/
178,251434425,"3022 Phaeton Ct, Rosenberg, TX 77471",29.493706,-95.817769,255000,USD,2,3,1794.0 sqft,,252700,1899,0,,FALSE,https://photos.zillowstatic.com/fp/4b59409eae200c80396882ffd963f2a4-p_e.jpg,House for sale,Houston Realty,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/3022-Phaeton-Ct-Rosenberg-TX-77471/251434425_zpid/,https://www.zillow.com/homes/TX_rb/5_p/
371,28917269,"2581 Alana Ln, Ingleside, TX 78362",27.86589,-97.200426,159900,USD,2,2,1004.0 sqft,,157600,1300,0,,FALSE,https://photos.zillowstatic.com/fp/ea3b62e254a7b52df17f458943eea565-p_e.jpg,House for sale,,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/2581-Alana-Ln-Ingleside-TX-78362/28917269_zpid/,https://www.zillow.com/homes/TX_rb/10_p/
292,2067955154,"14503 Eetwater Ln, Baytown, TX 77523",,,279115,USD,2,3,1409.0 sqft,,,,0,,FALSE,https://photos.zillowstatic.com/fp/eb3d73a260cc3d7de2fe384c94740790-p_e.jpg,New construction,RE/MAX Fine Properties,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/14503-Eetwater-Ln-Baytown-TX-77523/2067955154_zpid/,https://www.zillow.com/homes/TX_rb/8_p/
615,59563487,"73 Bellecrest Ave, East Northport, NY 11731",40.887863,-73.320799,600000,USD,2,4,,,581900,2065,0,,FALSE,https://photos.zillowstatic.com/fp/92949cbadfe4d3859af7b74047323a72-p_e.jpg,House for sale,Listing by: Coldwell Banker American Homes,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/73-Bellecrest-Ave-East-Northport-NY-11731/59563487_zpid/,https://www.zillow.com/homes/NY_rb/16_p/
600,73067403,"2905 Bever Ave SE, Cedar Rapids, IA 52403",41.983878,-91.625511,159900,USD,2,3,1686.0 sqft,,158900,1307,2,,FALSE,https://photos.zillowstatic.com/fp/63620305ed7e911dfbd63213baaa9d2e-p_e.jpg,House for sale,COLDWELL BANKER HEDGES,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/2905-Bever-Ave-SE-Cedar-Rapids-IA-52403/73067403_zpid/,https://www.zillow.com/homes/IA_rb/15_p/
170,65321423,"1 Morton Sq #6F, New York, NY 10014",40.730875,-74.009804,5775000,USD,4,3,2334.0 sqft,,3908100,5644,0,,FALSE,https://photos.zillowstatic.com/fp/47e0d14a39bc97f6ed4d275efb0416f4-p_e.jpg,Condo for sale,Listing by: Corcoran,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/1-Morton-Sq-6F-New-York-NY-10014/65321423_zpid/,https://www.zillow.com/homes/NY_rb/5_p/
642,2073582534,"1004 Hazelnut Ct, Norwalk, IA 50211",41.476749,-93.69668,542655,USD,3,4,1632.0 sqft,,,,2,,FALSE,https://photos.zillowstatic.com/fp/a40e5cb21e4b56786f96f575c12bc3c7-p_e.jpg,New construction,RE/MAX Precision,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/1004-Hazelnut-Ct-Norwalk-IA-50211/2073582534_zpid/,https://www.zillow.com/homes/IA_rb/17_p/
704,111379016,"464 Montauk Hwy, Westhampton Beach, NY 11978",40.822233,-72.632572,280000,USD,,0,,0.46 acres,,19999,0,,FALSE,https://photos.zillowstatic.com/fp/ce8a6791e49ef9cc34b586b50e614f12-p_e.jpg,Lot / Land for sale,Listing by: Compass,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/464-Montauk-Hwy-Westhampton-Beach-NY-11978/111379016_zpid/,https://www.zillow.com/homes/NY_rb/18_p/
424,50314292,"2706 Westwood Main Dr, Bryan, TX 77807",30.620415,-96.386596,175000,USD,2,3,1097.0 sqft,,174000,1231,0,,FALSE,https://photos.zillowstatic.com/fp/f1c8c4d2a519edbef85bbde95c1d94ed-p_e.jpg,House for sale,Lkg Realty Advisors,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/2706-Westwood-Main-Dr-Bryan-TX-77807/50314292_zpid/,https://www.zillow.com/homes/TX_rb/11_p/
63,31816083,"31 Orange Ave, Goshen, NY 10924",41.403596,-74.316219,359900,USD,2,3,2156.0 sqft,,,,0,,FALSE,https://photos.zillowstatic.com/fp/930136a6effff84dbcd5f7eb874e4e9f-p_e.jpg,House for sale,Listing by: Green Team New York Realty,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/31-Orange-Ave-Goshen-NY-10924/31816083_zpid/,https://www.zillow.com/homes/NY_rb/2_p/
85,29569521,"827 Mica Ln, Leander, TX 78641",30.565274,-97.861062,299900,USD,2,2,822.0 sqft,,232700,1479,0,,FALSE,https://photos.zillowstatic.com/fp/dcc01a6d063dc846080f1a007ee1229a-p_e.jpg,Active,AustinVestors,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/827-Mica-Ln-Leander-TX-78641/29569521_zpid/,https://www.zillow.com/homes/TX_rb/3_p/
490,73056083,"506 Bezdek Dr NW, Cedar Rapids, IA 52405",41.976925,-91.731468,249900,USD,3,3,1606.0 sqft,,227900,1527,2,,FALSE,https://photos.zillowstatic.com/fp/bc241c2e8a7b525427606d5cd7556c64-p_e.jpg,House for sale,eXp Realty,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/506-Bezdek-Dr-NW-Cedar-Rapids-IA-52405/73056083_zpid/,https://www.zillow.com/homes/IA_rb/13_p/
194,32662073,"(undisclosed Address), East Hampton, NY 11937",,,1295000,USD,2,3,1500.0 sqft,,1295005,16231,0,,FALSE,https://photos.zillowstatic.com/fp/d65f1f36d47d701492bbf0dcc27e20ac-p_e.jpg,House for sale,Listing by: Saunders & Associates,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/East-Hampton-NY-11937/32662073_zpid/,https://www.zillow.com/homes/NY_rb/5_p/
103,76652008,"2904 Neola St, Cedar Falls, IA 50613",42.512086,-92.413295,269900,USD,3,4,2156.0 sqft,,195000,1470,0,,FALSE,https://photos.zillowstatic.com/fp/98dfaa86f633868c5a6bee605b684aa6-p_e.jpg,House for sale,Amy Wienands Real Estate,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/2904-Neola-St-Cedar-Falls-IA-50613/76652008_zpid/,https://www.zillow.com/homes/IA_rb/3_p/
449,306028963,"608 Rolling Hills Dr, Tiffin, IA 52340",41.713359,-91.654942,574500,USD,4,6,3288.0 sqft,,567500,,2,,FALSE,https://photos.zillowstatic.com/fp/88d42638c8dff631b4ea0d036b563b76-p_e.jpg,New construction,,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/608-Rolling-Hills-Dr-Tiffin-IA-52340/306028963_zpid/,https://www.zillow.com/homes/IA_rb/12_p/
261,76877931,"508 W Main St, Agency, IA 52530",40.99472,-92.314053,147500,USD,1,3,1100.0 sqft,,,930,1,,FALSE,https://photos.zillowstatic.com/fp/fb7f573c4be92181bfb414fd7a2c03a5-p_e.jpg,New construction,Bridge City Realty,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/508-W-Main-St-Agency-IA-52530/76877931_zpid/,https://www.zillow.com/homes/IA_rb/7_p/
336,64656171,"78 E Bayview Ave #12B, Ocean Beach, NY 11770",40.650801,-73.137761,415000,USD,1,0,,,418300,3268,0,,FALSE,https://photos.zillowstatic.com/fp/b9322d5c02d2107963f18bf16fe43274-p_e.jpg,Condo for sale,Listing by: Douglas Elliman Real Estate,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/78-E-Bayview-Ave-12B-Ocean-Beach-NY-11770/64656171_zpid/,https://www.zillow.com/homes/NY_rb/9_p/
484,30389450,"468 Woodstock Ave, Tonawanda, NY 14150",42.994611,-78.835632,167777,USD,2,3,1207.0 sqft,,183000,1663,0,,FALSE,https://photos.zillowstatic.com/fp/f5e19643fd775fe84ba074d4722aaa48-p_e.jpg,House for sale,Listing by: Howard Hanna,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/468-Woodstock-Ave-Tonawanda-NY-14150/30389450_zpid/,https://www.zillow.com/homes/NY_rb/13_p/
392,2068443875,"0 Franklin Rd, Walton, NY 13856",42.178707,-75.122316,369000,USD,,,,47.51 acres,,,0,,FALSE,https://photos.zillowstatic.com/fp/55902efc0499e3f9d7e862ec114b6ea4-p_e.jpg,Lot / Land for sale,Listing by: Power Team Realty Corp,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/0-Franklin-Rd-Walton-NY-13856/2068443875_zpid/,https://www.zillow.com/homes/NY_rb/10_p/
732,2067957240,"Giallo III Plan, The Highlands Brookstone Collection",30.1519,-95.3219,376999,USD,4,4,2569.0 sqft,,,,0,,FALSE,https://photos.zillowstatic.com/fp/c31ec7fe6cabbc44121398931766cd5d-p_e.jpg,New construction,,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/community/highlands-brookstone-collection/2067957240_zpid/,https://www.zillow.com/homes/TX_rb/19_p/
56,80194420,"36 Grandview Pl, Florida, NY 10921",41.314504,-74.348527,437000,USD,3,3,1943.0 sqft,,,,0,,FALSE,https://photos.zillowstatic.com/fp/68572d087ee5ec2092622f954a07edce-p_e.jpg,House for sale,Listing by: Green Team New York Realty,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/36-Grandview-Pl-Florida-NY-10921/80194420_zpid/,https://www.zillow.com/homes/NY_rb/2_p/
496,30747610,"2434 E 11th St, Brooklyn, NY 11235",40.590836,-73.959898,1299000,USD,3,4,976.0 sqft,,1238998,2787,0,,FALSE,https://photos.zillowstatic.com/fp/9370e828bbdf781f07372c7e4c9b0b2c-p_e.jpg,House for sale,Listing by: Coldwell Banker Reliable,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/2434-E-11th-St-Brooklyn-NY-11235/30747610_zpid/,https://www.zillow.com/homes/NY_rb/13_p/
489,235275379,"210 E Cheshire St, Birmingham, IA 52535",40.880165,-91.946802,98500,USD,2,3,1763.0 sqft,,91600,900,2,,FALSE,https://photos.zillowstatic.com/fp/1c6574459b1359d57704411577211745-p_e.jpg,House for sale,Miller Realty,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/210-E-Cheshire-St-Birmingham-IA-52535/235275379_zpid/,https://www.zillow.com/homes/IA_rb/13_p/
528,125249115,"28459 Willis Rnch, San Antonio, TX 78260",29.719729,-98.454128,510000,USD,4,4,3631.0 sqft,,495200,2702,0,,FALSE,https://photos.zillowstatic.com/fp/b4750f88097e9a260a48fd9c59c3be29-p_e.jpg,House for sale,"eXp Realty, LLC",https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/28459-Willis-Rnch-San-Antonio-TX-78260/125249115_zpid/,https://www.zillow.com/homes/TX_rb/14_p/
388,121109725,"22307 Sheldonwood Ct, Katy, TX 77449",29.819731,-95.759751,269000,USD,2,3,1838.0 sqft,,269400,1881,0,,FALSE,https://photos.zillowstatic.com/fp/639a78e80660301884da48df62c59513-p_e.jpg,House for sale,Keller Williams Signature,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/22307-Sheldonwood-Ct-Katy-TX-77449/121109725_zpid/,https://www.zillow.com/homes/TX_rb/10_p/
235,2067957683,"30 Bay 29 St #2D, Brooklyn, NY 11214",40.60184,-73.99553,438000,USD,1,2,1064.0 sqft,,,,0,,FALSE,https://photos.zillowstatic.com/fp/cc905e006b67e3159f55bae403b4163b-p_e.jpg,Condo for sale,Listing by: Momentum Real Estate LLC,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/30-Bay-29-St-2D-Brooklyn-NY-11214/2067957683_zpid/,https://www.zillow.com/homes/NY_rb/6_p/
117,26259226,"138 Ware Blvd, San Antonio, TX 78221",29.34832,-98.502222,199900,USD,1,2,1150.0 sqft,,153400,1308,0,,FALSE,https://photos.zillowstatic.com/fp/078cee6840d06f02f9796c04f2b18b3f-p_e.jpg,House for sale,RE/MAX Unlimited,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/138-Ware-Blvd-San-Antonio-TX-78221/26259226_zpid/,https://www.zillow.com/homes/TX_rb/3_p/
519,2067962577,"340 Bird Ave #200, Buffalo, NY 14213",42.926203,-78.886258,425000,USD,3,3,1740.0 sqft,,,,0,,FALSE,https://photos.zillowstatic.com/fp/7f182ce7e72afe2fc772f59d7322697d-p_e.jpg,Condo for sale,Listing by: Hunt Real Estate ERA,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/340-Bird-Ave-200-Buffalo-NY-14213/2067962577_zpid/,https://www.zillow.com/homes/NY_rb/13_p/
155,59316372,"33 Tall Tree Ln, Rocky Point, NY 11778",40.953883,-72.950962,450000,USD,2,3,,,454900,3280,0,,FALSE,https://photos.zillowstatic.com/fp/7e41f1a649d87a4acd830b16eb4f52b6-p_e.jpg,House for sale,Listing by: Exit Realty Island Elite,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/33-Tall-Tree-Ln-Rocky-Point-NY-11778/59316372_zpid/,https://www.zillow.com/homes/NY_rb/4_p/
559,89415255,"1522 Oak Harbor Dr, Corpus Christi, TX 78418",27.660039,-97.310272,225000,USD,2,4,1600.0 sqft,,237800,1942,0,,FALSE,https://photos.zillowstatic.com/fp/00afc5cd24bf45d4a5a2ec04b0d7b9d4-p_e.jpg,House for sale,Selby Properties,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/1522-Oak-Harbor-Dr-Corpus-Christi-TX-78418/89415255_zpid/,https://www.zillow.com/homes/TX_rb/14_p/
391,31825749,"3 Davenport Ct, Monroe, NY 10950",41.322391,-74.171842,459900,USD,2,4,1602.0 sqft,,,,0,,FALSE,https://photos.zillowstatic.com/fp/96246a72ecf7a6bff8b94cb95dc179cb-p_e.jpg,Foreclosure,Listing by: United Hudson Realty LLC,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/3-Davenport-Ct-Monroe-NY-10950/31825749_zpid/,https://www.zillow.com/homes/NY_rb/10_p/
